Design ID,SKU,Product Name,Category,Reason Removed,Cloudinary Public ID,Cloudinary Original URL
0006,MB1-0006,BAdge Batallon,memorial and tribute,Official/organizational badge or insignia — conservative trademark/seal risk,0006_BAdge_Batallon,https://res.cloudinary.com/oxygre42/image/upload/v1788348704/0006_BAdge_Batallon.png
0007,MB1-0007,Badge Addison Police,memorial and tribute,Official/organizational badge or insignia — conservative trademark/seal risk,0007_Badge_Addison_Police,https://res.cloudinary.com/oxygre42/image/upload/v1788348706/0007_Badge_Addison_Police.png
0008,MB1-0008,Badge Agent Departmen State Idaho,memorial and tribute,Official/organizational badge or insignia — conservative trademark/seal risk,0008_Badge_Agent_Departmen_State_Idaho,https://res.cloudinary.com/oxygre42/image/upload/v1788348708/0008_Badge_Agent_Departmen_State_Idaho.png
0009,MB1-0009,Badge Agricultural Education,memorial and tribute,Official/organizational badge or insignia — conservative trademark/seal risk,0009_Badge_Agricultural_Education,https://res.cloudinary.com/oxygre42/image/upload/v1788348710/0009_Badge_Agricultural_Education.png
0010,MB1-0010,Badge Air Mobility one layer,memorial and tribute,Official/organizational badge or insignia — conservative trademark/seal risk,0010_Badge_Air_Mobility_one_layer,https://res.cloudinary.com/oxygre42/image/upload/v1788348712/0010_Badge_Air_Mobility_one_layer.png
0011,MB1-0011,Badge Air force,memorial and tribute,Official/organizational badge or insignia — conservative trademark/seal risk,0011_Badge_Air_force,https://res.cloudinary.com/oxygre42/image/upload/v1788348714/0011_Badge_Air_force.png
0012,MB1-0012,Badge Airborne,memorial and tribute,Official/organizational badge or insignia — conservative trademark/seal risk,0012_Badge_Airborne,https://res.cloudinary.com/oxygre42/image/upload/v1788348716/0012_Badge_Airborne.png
0013,MB1-0013,Badge Austin Police,memorial and tribute,Official/organizational badge or insignia — conservative trademark/seal risk,0013_Badge_Austin_Police,https://res.cloudinary.com/oxygre42/image/upload/v1788348718/0013_Badge_Austin_Police.png
0014,MB1-0014,Badge Avondale,memorial and tribute,Official/organizational badge or insignia — conservative trademark/seal risk,0014_Badge_Avondale,https://res.cloudinary.com/oxygre42/image/upload/v1788348720/0014_Badge_Avondale.png
0015,MB1-0015,Badge Border Patrol,memorial and tribute,Official/organizational badge or insignia — conservative trademark/seal risk,0015_Badge_Border_Patrol,https://res.cloudinary.com/oxygre42/image/upload/v1788348722/0015_Badge_Border_Patrol.png
