design,sku,name,primary_category,additional_category_1,additional_category_2,additional_category_3,all_categories,customizable,assignment_notes
0002,MB1-0002,all gave some 1,memorial and tribute,,,,memorial and tribute,Yes,
0003,MB1-0003,all gave some 2,memorial and tribute,,,,memorial and tribute,Yes,
0004,MB1-0004,all gave some 3,memorial and tribute,,,,memorial and tribute,Yes,
0005,MB1-0005,all gave some 4,memorial and tribute,,,,memorial and tribute,Yes,
0031,MB1-0031,Anchor Monogram frame,lake house and nautical,beach and coastal,family & name,home decor and inspirational,lake house and nautical; beach and coastal; family & name; home decor and inspirational,Yes,Beach & Coastal: nautical/coastal crossover | Family & Name: monogram/name theme | Home Décor & Inspirational: lake/nautical home décor crossover
0032,MB1-0032,Good Luck anchor,lake house and nautical,beach and coastal,home decor and inspirational,,lake house and nautical; beach and coastal; home decor and inspirational,No,Beach & Coastal: nautical/coastal crossover | Home Décor & Inspirational: lake/nautical home décor crossover
0034,MB1-0034,anchor 1,lake house and nautical,beach and coastal,home decor and inspirational,,lake house and nautical; beach and coastal; home decor and inspirational,No,Beach & Coastal: nautical/coastal crossover | Home Décor & Inspirational: lake/nautical home décor crossover
0035,MB1-0035,anchor 2,lake house and nautical,beach and coastal,home decor and inspirational,,lake house and nautical; beach and coastal; home decor and inspirational,No,Beach & Coastal: nautical/coastal crossover | Home Décor & Inspirational: lake/nautical home décor crossover
0036,MB1-0036,anchor 3,lake house and nautical,beach and coastal,home decor and inspirational,,lake house and nautical; beach and coastal; home decor and inspirational,No,Beach & Coastal: nautical/coastal crossover | Home Décor & Inspirational: lake/nautical home décor crossover
0037,MB1-0037,anchor 4,lake house and nautical,beach and coastal,home decor and inspirational,,lake house and nautical; beach and coastal; home decor and inspirational,No,Beach & Coastal: nautical/coastal crossover | Home Décor & Inspirational: lake/nautical home décor crossover
0038,MB1-0038,anchor 5,lake house and nautical,beach and coastal,home decor and inspirational,,lake house and nautical; beach and coastal; home decor and inspirational,No,Beach & Coastal: nautical/coastal crossover | Home Décor & Inspirational: lake/nautical home décor crossover
0039,MB1-0039,anchor 6,lake house and nautical,beach and coastal,home decor and inspirational,,lake house and nautical; beach and coastal; home decor and inspirational,No,Beach & Coastal: nautical/coastal crossover | Home Décor & Inspirational: lake/nautical home décor crossover
0040,MB1-0040,anchor 7,lake house and nautical,beach and coastal,home decor and inspirational,,lake house and nautical; beach and coastal; home decor and inspirational,No,Beach & Coastal: nautical/coastal crossover | Home Décor & Inspirational: lake/nautical home décor crossover
0041,MB1-0041,anchor 8,lake house and nautical,beach and coastal,home decor and inspirational,,lake house and nautical; beach and coastal; home decor and inspirational,No,Beach & Coastal: nautical/coastal crossover | Home Décor & Inspirational: lake/nautical home décor crossover
0042,MB1-0042,anchor 9,lake house and nautical,beach and coastal,home decor and inspirational,,lake house and nautical; beach and coastal; home decor and inspirational,No,Beach & Coastal: nautical/coastal crossover | Home Décor & Inspirational: lake/nautical home décor crossover
0043,MB1-0043,BASEBALL 1,sports and hobbies,,,,sports and hobbies,Yes,
0044,MB1-0044,BASEBALL 10,sports and hobbies,,,,sports and hobbies,Yes,
0045,MB1-0045,BASEBALL 11,sports and hobbies,,,,sports and hobbies,Yes,
0046,MB1-0046,BASEBALL 12,sports and hobbies,,,,sports and hobbies,Yes,
0047,MB1-0047,BASEBALL 13,sports and hobbies,,,,sports and hobbies,Yes,
0048,MB1-0048,BASEBALL 2,sports and hobbies,,,,sports and hobbies,Yes,
0049,MB1-0049,BASEBALL 3,sports and hobbies,,,,sports and hobbies,Yes,
0050,MB1-0050,BASEBALL 4,sports and hobbies,,,,sports and hobbies,Yes,
0051,MB1-0051,BASEBALL 5,sports and hobbies,,,,sports and hobbies,Yes,
0052,MB1-0052,BASEBALL 6,sports and hobbies,,,,sports and hobbies,Yes,
0053,MB1-0053,BASEBALL 7,sports and hobbies,,,,sports and hobbies,Yes,
0054,MB1-0054,BASEBALL 8,sports and hobbies,,,,sports and hobbies,Yes,
0055,MB1-0055,BASEBALL 9,sports and hobbies,,,,sports and hobbies,Yes,
0056,MB1-0056,BBQ GRILL 1,sports and hobbies,,,,sports and hobbies,No,
0057,MB1-0057,BBQ GRILL 10,sports and hobbies,,,,sports and hobbies,No,
0058,MB1-0058,BBQ GRILL 11,sports and hobbies,,,,sports and hobbies,No,
0059,MB1-0059,BBQ GRILL 12,sports and hobbies,,,,sports and hobbies,No,
0060,MB1-0060,BBQ GRILL 13,sports and hobbies,,,,sports and hobbies,No,
0061,MB1-0061,BBQ GRILL 14,sports and hobbies,,,,sports and hobbies,No,
0062,MB1-0062,BBQ GRILL 2,sports and hobbies,,,,sports and hobbies,No,
0063,MB1-0063,BBQ GRILL 3,sports and hobbies,,,,sports and hobbies,No,
0064,MB1-0064,BBQ GRILL 4,sports and hobbies,,,,sports and hobbies,No,
0065,MB1-0065,BBQ GRILL 5,sports and hobbies,,,,sports and hobbies,No,
